Profile_Name,Rating_Star,Headings,Base_Reviews,Unnamed: 4,category
Michelle Reihing,1.0 out of 5 stars,You get what you pay for.,"You get what you pay for. Maybe IÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ¢m dumb, but I just didnÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ¢t really like this app. It was kind of confusing and I wasnÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ¢t able to get a decent sketch out of it.",,User Interface and UX
Gayle L Dickinson,1.0 out of 5 stars,Deleted it from my device,It gives you impression that you can use a pencil and do shadings etc. That is not the case.  I have deleted it from my device.,,Compatibility and Device Issues
YiJun Wang,1.0 out of 5 stars,keep crashing after update,Keep crashing.,,Performance and Stability
Gemma,2.0 out of 5 stars,Two Stars,This app keeps crashing and auto adjusting.... pls fix,,Performance and Stability
Chris,1.0 out of 5 stars,would give zero stars if I could.,"The worst app I have. Every time, and I mean every time, I get an incoming call Skype crashes! And it wouldn't even surprise me if my Skype crashes during a call. If it crashes while turning on. If it is not reactive at all when I try to call someone. Like there isn't even a ring tone when I call someone do I sit there in awkward silence wondering if I pressed the call button and suddenly my friends voice is on the other side just.... sudden! Or if I am still seeing no reaction once I press the call button I press it twice and then it non stop calls my friend no matter how I try to hang up, I have to turn off my kindle to get it to stop calling!If it aren't for necessity, it would never come back on my kindle I hate this thing so much",,Performance and Stability
great,1.0 out of 5 stars,update,"Ever since my skype has updated, it has done me no help. It crashes every time I try to skype. I'm trying to skype, not have my screen frozen. But cool!!!!",,Performance and Stability
Hiram Aponte,1.0 out of 5 stars,update killed Skype,It is crashing won't respond and is just being annoying,,Performance and Stability
Jackson,1.0 out of 5 stars,really,It always crashes and I cannot stand that you can't sign in via Facebook,,Performance and Stability
jesse,1.0 out of 5 stars,Unsupported device,It tells me I can't join a group chat because I'm on an unsupported device please fix this I have all the updates..,,Compatibility and Device Issues
Kujali reid,3.0 out of 5 stars,my device,Good however I love it very much and would like more apps for my device hope you understand me clear,,Compatibility and Device Issues
Trina Beck,1.0 out of 5 stars,the worst. keeps crashing.,"This new version crashes every time I try to use it, even after uninstalling and reinstalling. GET YOUR @$&# TOGETHER, SKYPE.",,Performance and Stability
Claitlin,1.0 out of 5 stars,I wish I could give it less than one star.,"I bought two Kindle Fire HD 8.9"" 32G tablets for my husband and I for Christmas presents.  He is a marine, I thought that for his deployment this would be great for entertainment and communication.  This app has worked correctly once.  Just one single time.  The speakers stopped putting out what he was saying, the screen freezes, calls are ""busy"" over and over again (even though we confirmed the other person is not making a call).  I'll be deleting this App and might try to re-download, but I don't have much faith.This is separate from the Skype review - but I'm incredibly disappointed with my Kindle over all.  It seems that most things don't work - except for things eligible for purchase off of Amazon.  I am an avid PC/Android user - and I hate to say it - but I wish I had just bought an IPAD.",,Performance and Stability
Michael Johnston,1.0 out of 5 stars,problematic,Skype worked great until the latest update. Beeps every time the video has a glitch. Beeps everytime I switch between landscape and portrait mode. Very annoying to me and the person on the other end. Only stopped beeping after I turned the sound all the way down. Then I can hardly hear the conversation. Crashes all the time. No way to revert back to the previous version. If it weren't free I'd want my money back.,,Performance and Stability
Jennifer Perry,1.0 out of 5 stars,Awful,"This app is a nightmare. It crashes often, and periodically it decides to stop working completely so I have to re-install it. What a headache.",,Performance and Stability
January,1.0 out of 5 stars,fix please,Every time I call someone the camera freezes and the call drops. Please fix this problem,,Performance and Stability
Daniel I Harris,3.0 out of 5 stars,it's cool,the attempt is very useful and I enjoy using it..It is very helpful to get in contact with others too,,Functionality and Features
Dan Smith,1.0 out of 5 stars,Skype crashing when rotating the kindle,"Skype crashes when the kindle rotates. If I'm not in the proper rotation Skype wants when starting, it stops loading at the blue screen. Bugs like this should be caught long before they get released to users.",,Performance and Stability
Pie dude,2.0 out of 5 stars,Worked good until the new update,It worked good on kindle fire hd then ever since the new update it keeps crashing. Plz fix then i will rate 5 stars.,,Performance and Stability
Leisha Johnson,3.0 out of 5 stars,It was a little good,it has very very  bad sound quality  and sometimes i cant see the other person's face.. its very freezyy .. Its okay at certain features tho ..,,Functionality and Features
Adriana,1.0 out of 5 stars,TERRIBLE APP,"Seriously this new update sucks. The connection, the way it's now functioned its just really terrible now. Thanks. Just thanks man.",,Functionality and Features
jess,1.0 out of 5 stars,sucks,App crashes and freezes . I cannot adjust the volume at all. About to delete !! I do love skype but this update on Dec 27 made it suck !!!!!!!!,,Performance and Stability
AP,1.0 out of 5 stars,Keeps crashing,"Every time I open Skype on my Kindle, it keeps crashing. I need to restart the programme a few times before I can actually start using it.",,Performance and Stability
Emily,1.0 out of 5 stars,Works once in a blue moon ...,This app works once in a blue moon. I am sad to say that I regret this app more than any app I have spent money on. Drops calls constantly and freezes my kindle.,,Performance and Stability
Selorm!,1.0 out of 5 stars,not good enough,It's so slow...don't work properly on kindle ! Something gotta be done better to the next version! I really really hate it right about now!!!.,,Performance and Stability
Firsttimedad,1.0 out of 5 stars,Never used,To do not need skype this is why I am removing it from my kindle. Not Useful to me at all.,,Functionality and Features
daniella paig,1.0 out of 5 stars,please fix it!,"This app needs serious work. It should not only work for certain devices, it's not fair! I have the new kindle fire HDX 7&#34; and I very disappointed. The person I call can see me fine but I can't see her. The video and the audio are not in sync with each other so as I talk the action follows10 seconds  later. It's annoying. Please fix this app. I rather just have the Google play store apps",,Compatibility and Device Issues
Briana Kim,1.0 out of 5 stars,SKYPE NEEDS NEW CREATORS!!!,"I am very disappointed in this new update that Skype has put out. While the previous version had its cons, at least I could talk to family members. Since the new update on my flawless KFHD 7"", I can't see and usually hear any conversation and the screen turns black and says,"" Skype not responding"" and crashes. I am very upset and will be emailing them when I get the chance. New updates with SOLUTIONS to problems not an addition of problems is the proper way to go. Clearly, Skype needs to seriously reconsider their horrendous updates that they release.",,Performance and Stability
